Country Code,City,Location,Coordinates,Pollutant,Source Name,Unit,Value,Last Updated,Country Label
CN,防城港市,防城档案局,"21.7731,108.3514",SO2,ChinaAQIData,µg/m³,25.0,2021-08-06T13:00:00+02:00,China
CL,Temuco,Ñielol,"-38.72700326,-72.5800019503",PM2.5,Chile - SINCA,µg/m³,25.0,2021-08-06T13:00:00+02:00,Chile
CN,汕尾市,新城中学,"22.7925,115.3622",PM2.5,ChinaAQIData,µg/m³,25.0,2021-08-06T13:00:00+02:00,China
CN,银川市,文昌北街,"38.497,106.1015",PM2.5,ChinaAQIData,µg/m³,25.0,2021-08-06T13:00:00+02:00,China
CN,寿光市,监测站,"36.881,118.746",NO2,ChinaAQIData,µg/m³,25.0,2021-08-06T13:00:00+02:00,China
CN,北海市,海滩公园,"21.4086,109.1436",NO2,ChinaAQIData,µg/m³,25.0,2021-08-06T13:00:00+02:00,China
CN,清远市,技师学院,"23.6344,113.0477",PM2.5,ChinaAQIData,µg/m³,25.0,2021-08-06T13:00:00+02:00,China
CN,邵阳市,市环保局,"27.2272,111.4328",PM2.5,ChinaAQIData,µg/m³,25.0,2021-08-06T13:00:00+02:00,China
BE,Antwerpen,BETR822,"51.2642897846,4.34127999246",NO2,EEA Belgium,µg/m³,25.0,2021-08-06T03:00:00+02:00,Belgium
US,Cleveland-Elyria-Mentor,St Theodosius,"41.477011,-81.682383",PM2.5,AirNow,µg/m³,25.0,2021-08-06T13:00:00+02:00,United States
GB,Kingston,Kingston Upon Thames - Cromwell Road,"51.412308,-0.29658478",NO2,London Air Quality Network,µg/m³,25.0,2021-08-06T13:00:00+02:00,United Kingdom
CN,蚌埠市,蚌埠学院,"32.8911,117.4185",NO2,ChinaAQIData,µg/m³,25.0,2021-08-06T13:00:00+02:00,China
CN,广州市,番禺中学,"22.9483,113.3505",PM2.5,ChinaAQIData,µg/m³,25.0,2021-08-06T13:00:00+02:00,China
CN,佳木斯市,十一中,"46.8032,130.3648",NO2,ChinaAQIData,µg/m³,25.0,2021-08-06T13:00:00+02:00,China
GB,Grangemouth,Grangemouth Moray,"56.013142,-3.710833",NO2,DEFRA,µg/m³,25.0,2021-08-06T13:00:00+02:00,United Kingdom
CN,赣江新区,桑海产业园,"28.932,115.8347",PM2.5,ChinaAQIData,µg/m³,25.0,2021-08-06T13:00:00+02:00,China
